run_name,cfg,Total money_made,Total distance driven,Average profit,Customers served,Customers cancelled,Waiting time,Average free time,Highest earning taxi id,Highest earning taxi per hour,Lowest earning taxi id,Lowest earning taxi per hour
,"cr=closest, ms=None, bl=None",13834.686866252521,6860.835639237903,128.47958493200963,758,0,618.5780885785107,1.5690782452732999,4,40.385393414537106,95,6.979788216689951
,"cr=closest, ms=allow_rellocation, bl=None",34640.10998133548,137352.14399910293,66.38593686587858,777,0,0,3.170143965072467,16,232.80877382448693,105,0.0
,"cr=closest, ms=batching, bl=0.01",14071.022309104863,5900.011154552433,163.1774693442327,742,0,632.6135931717967,2.3011050952120753,1,39.15679212215463,79,0.0
,"cr=closest, ms=batching, bl=0.05",13378.31729023492,5594.158645117458,130.42005916182364,717,0,317.0331638992921,2.944691313506904,93,37.81764385014099,84,11.399214078083826
,"cr=closest, ms=batching, bl=0.1",13020.039434766688,5422.519717383345,119.35535491290025,709,0,477.62230418667923,3.1539953796139275,99,41.82420614097158,100,0.0
,"cr=closest, ms=batching, bl=0.2",13505.665339396515,5615.832669698257,137.58332006063173,745,0,1169.1299849262912,2.816965120330396,88,40.767209955662864,90,0.0
,"cr=shortest, ms=None, bl=None",10439.308363065087,8532.180922497866,114.90621287586201,649,0,689.7584158300893,0.07627350596332953,74,48.35915232623517,75,0.0
,"cr=longest, ms=None, bl=None",14701.535038487098,9932.508647775683,117.73178989751815,773,0,1461.3411635320174,0.6515486419796285,105,84.7585806718335,106,0.0
,"cr=closest, ms=None, bl=None",13632.557313420162,7672.722103468925,147.53674259422425,745,0,1160.382398509387,0.6715104670815343,13,40.670433487570634,81,0.0
,"cr=closest, ms=allow_rellocation, bl=None",36836.10488782612,135630.31964061782,105.54392347502775,760,0,0,2.901638012340409,13,191.78880496954903,90,0.0
,"cr=closest, ms=batching, bl=0.01",12863.35386994159,5353.176934970795,176.01072362608116,707,0,1396.1483841294507,1.7279635351037435,64,52.31580367747812,65,0.0
,"cr=closest, ms=batching, bl=0.05",15168.404561835292,6337.702280917648,140.41276874395723,823,0,400.9437533418994,2.6330725583867136,97,56.965779724908344,98,0.0
,"cr=closest, ms=batching, bl=0.1",13570.41910996729,5663.209554983645,130.9239705154796,737,0,331.5247453888114,2.8843839475800057,94,51.30220432271388,73,13.009699619358425
,"cr=closest, ms=batching, bl=0.2",13661.23687960079,5735.618439800396,142.20583172318993,716,0,747.1019838721054,2.5764740770365213,84,44.44391290124342,88,0.0
,"cr=shortest, ms=None, bl=None",11467.075030373213,9240.20762332908,113.16510006714583,681,0,1036.4157435915902,0.09005363709120538,82,52.37776082342864,83,0.0
,"cr=longest, ms=None, bl=None",13551.410467448843,10567.047518697667,114.38000963709308,688,0,1206.921053428773,0.10144165987597815,99,70.59580625689031,100,0.0
,"cr=closest, ms=None, bl=None",13327.124317248119,7018.462018881841,145.4077062618506,721,0,554.587489394973,0.8011884678454697,82,45.71277469417088,34,12.355199402230271
,"cr=closest, ms=allow_rellocation, bl=None",33964.01475598894,135456.56500712852,86.99622474130689,786,0,0,2.6291724724991816,74,198.79938500013472,79,0.0
,"cr=closest, ms=batching, bl=0.01",13995.5079417758,5872.753970887902,166.505936981795,736,0,704.8387532771399,2.299539946920521,77,67.76371754610659,74,19.32582045084446
,"cr=closest, ms=batching, bl=0.05",14277.708975646578,5971.854487823287,134.8797740008445,772,0,428.66710983881165,2.7999968703936347,6,36.417433910085116,95,0.0
,"cr=closest, ms=batching, bl=0.1",13525.024649482886,5634.512324741445,122.75368499539206,742,0,475.86055062129134,3.2005605736082225,8,34.41425487761532,96,0.0
,"cr=closest, ms=batching, bl=0.2",14413.144006632441,6045.572003316221,143.52206093444778,755,0,1450.7327434459012,2.3722491996221846,91,79.95139413412873,92,0.0
,"cr=shortest, ms=None, bl=None",13744.840876121852,10904.998737400352,114.49347652120565,767,0,1645.2389281421135,0.11277001089260515,99,55.10481839985297,100,0.0
,"cr=longest, ms=None, bl=None",12319.886092397754,9839.24996084767,115.02262333586908,606,0,1202.5971367853733,0.1306474554070432,83,31.439324634258814,88,0.0
,"cr=closest, ms=None, bl=None",14443.726039344421,8225.282780581567,152.3651128955727,777,0,1515.1818993443394,0.5214367900644211,78,42.094686338765676,84,0.0
,"cr=closest, ms=allow_rellocation, bl=None",30188.065068001644,130031.15432044632,44.487597913961395,792,0,0,2.833766150798423,93,202.25362038140085,94,0.0
,"cr=closest, ms=batching, bl=0.01",13898.10088807393,5779.050444036966,131.36382267285083,768,0,699.1652622298943,2.6312625270655547,1,39.228316278777335,89,0.0
,"cr=closest, ms=batching, bl=0.05",13898.86743627459,5825.933718137293,121.27314945378212,742,0,651.3999981092547,3.3692663998518495,104,49.175406583738244,90,0.0
